# 'SQRT(S) [MEV]','SIG [NB]','error +','error -'
600.0,'<0.84',0.0,-0.0
630.0,'<0.37',0.0,-0.0
660.0,'<0.17',0.0,-0.0
690.0,0.08,0.1,-0.06
720.0,0.32,0.11,-0.11
750.0,0.47,0.18,-0.18
760.0,0.34,0.15,-0.15
764.0,0.35,0.46,-0.25
770.0,0.26,0.23,-0.14
774.0,1.02,0.27,-0.27
778.0,1.64,0.35,-0.35
780.0,1.79,0.37,-0.37
781.0,1.84,0.33,-0.33
782.0,2.45,0.24,-0.24
783.0,2.56,0.37,-0.37
784.0,2.28,0.31,-0.31
785.0,1.66,0.34,-0.34
786.0,2.31,0.4,-0.4
790.0,0.82,0.26,-0.26
794.0,0.92,0.25,-0.25
800.0,0.57,0.16,-0.16
810.0,0.46,0.15,-0.15
820.0,0.3,0.11,-0.11
840.0,0.47,0.09,-0.09
880.0,0.37,0.1,-0.1
920.0,0.23,0.07,-0.07
940.0,0.26,0.09,-0.09
950.0,0.14,0.08,-0.08
958.0,0.3,0.11,-0.11
970.0,0.23,0.2,-0.2
984.0,0.5,0.17,-0.17
1004.0,1.7,0.28,-0.28
1010.3,3.32,0.35,-0.35
1015.7,15.97,0.88,-0.88
1016.78,25.64,0.8,-0.8
1017.82,36.71,0.9,-0.9
1018.68,52.14,0.93,-0.93
1019.69,50.1,0.96,-0.96
1020.58,36.45,1.02,-1.02
1021.51,21.49,0.97,-0.97
1022.74,12.09,0.72,-0.72
1027.8,2.45,0.39,-0.39
1033.7,0.75,0.28,-0.28
1039.6,0.31,0.22,-0.22
1049.7,0.12,0.21,-0.12
1060.0,0.04,0.17,-0.04
1100.0,0.01,0.08,-0.01
1160.0,'<0.07',0.0,-0.0
1224.0,'<0.08',0.0,-0.0
1290.0,'<0.06',0.0,-0.0
1354.0,0.05,0.04,-0.03
