# 'E(RF=CM) [MEV]','E(RF=CM) [MEV] LOW','E(RF=CM) [MEV] HIGH','SIG [NB]','error +','error -'
993.956,993.356,994.556,'-',0,0
1008.624,1008.222,1009.026,5.0,3.0,-3.0
1013.8820000000001,1013.7,1014.064,5.0,3.0,-3.0
1016.726,1016.636,1016.816,32.0,11.0,-11.0
1017.264,1017.168,1017.36,19.0,6.0,-6.0
1017.654,1017.572,1017.736,37.0,9.0,-9.0
1017.934,1017.852,1018.016,27.0,8.0,-8.0
1017.992,1017.926,1018.058,46.0,7.0,-7.0
1018.322,1018.256,1018.388,34.0,8.0,-8.0
1018.806,1018.732,1018.88,46.0,14.0,-14.0
1019.0699999999999,1019.0,1019.14,56.0,10.0,-10.0
1019.4680000000001,1019.364,1019.572,60.0,20.0,-20.0
1019.636,1019.542,1019.73,36.0,18.0,-18.0
1021.762,1021.678,1021.846,28.0,8.0,-8.0
1022.072,1021.976,1022.168,24.0,7.0,-7.0
1027.996,1027.872,1028.12,3.0,1.0,-1.0
