# 'SQRT(S) [MEV]','SQRT(S) [MEV] LOW','SQRT(S) [MEV] HIGH','SIG [NB]','error +','error -'
985.585,985.13,986.04,0.19,0.5,-0.5
1004.96,1004.51,1005.41,1.55,0.55,-0.55
1010.7650000000001,1010.34,1011.19,3.27,0.56,-0.56
1016.0699999999999,1015.62,1016.52,20.66,0.89,-0.89
1017.1600000000001,1016.98,1017.34,32.43,1.18,-1.18
1018.21,1017.94,1018.48,44.79,1.08,-1.08
1019.135,1018.84,1019.43,55.59,0.7,-0.7
1020.065,1019.74,1020.39,48.65,0.97,-0.97
1021.0250000000001,1020.72,1021.33,30.55,0.91,-0.91
1021.82,1021.69,1021.95,21.72,0.99,-0.99
1022.4649999999999,1022.14,1022.79,15.47,0.91,-0.91
1028.115,1027.64,1028.59,2.37,0.32,-0.32
1033.865,1033.38,1034.35,0.79,0.21,-0.21
1039.155,1039.01,1039.3,0.35,0.35,-0.35
