# 'SQRT(S) [MEV]','SQRT(S) [MEV] LOW','SQRT(S) [MEV] HIGH','SIG [NB]','error +','error -'
599.94,599.78,600.1,'<0.36',0.0,-0.0
629.96,629.78,630.14,'<0.19',0.0,-0.0
660.0,659.82,660.18,0.059,0.078,-0.038
689.98,689.78,690.18,'<0.1',0.0,-0.0
720.0,719.79,720.21,0.22,0.07,-0.05
749.98,749.75,750.21,0.33,0.14,-0.1
760.0,759.76,760.24,0.36,0.14,-0.1
764.0,763.74,764.26,0.32,0.13,-0.09
770.0,769.75,770.25,0.54,0.15,-0.12
773.98,773.73,774.23,0.78,0.2,-0.17
778.0,777.7,778.3,1.5,0.22,-0.22
780.0,779.75,780.25,1.58,0.21,-0.21
780.98,780.74,781.22,2.18,0.23,-0.23
782.0,781.76,782.24,2.13,0.17,-0.17
783.0,782.76,783.24,2.0,0.19,-0.19
783.98,783.74,784.22,1.84,0.21,-0.21
785.02,784.78,785.26,1.52,0.23,-0.23
785.98,785.74,786.22,1.32,0.19,-0.19
789.96,789.71,790.21,0.85,0.21,-0.17
793.96,793.71,794.21,0.59,0.17,-0.13
800.0,799.75,800.25,0.57,0.14,-0.11
809.98,809.72,810.24,0.29,0.11,-0.08
819.94,819.68,820.2,0.46,0.12,-0.09
840.0,839.72,840.28,0.25,0.06,-0.05
879.9200000000001,879.61,880.23,0.19,0.08,-0.06
919.86,919.51,920.21,0.27,0.08,-0.06
939.88,939.54,940.22,0.27,0.08,-0.06
949.78,949.46,950.1,0.16,0.1,-0.06
957.8,957.48,958.12,0.39,0.14,-0.11
969.8,969.46,970.14,0.23,0.11,-0.08
980.0,979.79,980.21,0.24,0.19,-0.12
984.1,983.73,984.47,0.42,0.12,-0.09
1003.82,1003.44,1004.2,1.6,0.19,-0.19
1009.6800000000001,1009.29,1010.07,3.18,0.31,-0.31
1015.64,1015.25,1016.03,15.1,0.89,-0.89
1016.7,1016.32,1017.08,24.99,1.26,-1.26
1017.66,1017.28,1018.04,35.44,1.79,-1.79
1018.64,1018.25,1019.03,53.53,1.73,-1.73
1019.62,1019.2,1020.04,54.02,1.29,-1.29
1020.5799999999999,1020.18,1020.98,41.31,1.7,-1.7
1021.64,1021.23,1022.05,23.32,1.22,-1.22
1022.78,1022.39,1023.17,12.24,0.7,-0.7
1027.76,1027.36,1028.16,2.76,0.19,-0.19
1033.6999999999998,1033.31,1034.09,0.8,0.08,-0.08
1039.6799999999998,1039.29,1040.07,0.3,0.04,-0.04
1049.76,1049.37,1050.15,0.089,0.014,-0.014
1059.76,1059.32,1060.2,0.046,0.007,-0.007
1078.54,1074.99,1082.09,0.014,0.004,-0.003
1099.92,1094.47,1105.37,0.005,0.002,-0.002
1131.58,1121.09,1142.07,0.01,0.004,-0.003
1182.96,1167.88,1198.04,0.015,0.012,-0.007
1227.3400000000001,1216.2,1238.48,0.013,0.029,-0.01
1271.6799999999998,1257.35,1286.01,0.046,0.045,-0.025
1315.44,1303.72,1327.16,0.019,0.045,-0.016
1360.44,1346.05,1374.83,0.021,0.027,-0.013
