# 'SQRT(S) [MEV]','SQRT(S) [MEV] LOW','SQRT(S) [MEV] HIGH','SIG [NB]','error +','error -'
755.26,750.26,760.26,0.19,0.13,-0.13
769.12,765.14,773.1,0.4,0.17,-0.17
777.96,777.72,778.2,1.12,0.52,-0.52
779.98,779.7,780.26,1.28,0.53,-0.53
780.98,780.74,781.22,1.38,0.51,-0.51
782.0,781.76,782.24,1.71,0.46,-0.46
783.0,782.76,783.24,2.23,0.54,-0.54
783.98,783.74,784.22,1.98,0.55,-0.55
785.02,784.78,785.26,1.92,0.7,-0.7
785.98,785.74,786.22,1.4,0.54,-0.54
792.06,790.04,794.08,0.81,0.26,-0.26
823.36,807.46,839.26,0.3,0.14,-0.14
931.52,902.82,960.22,0.25,0.1,-0.1
992.14,981.74,1002.54,0.54,0.23,-0.23
1009.6800000000001,1009.29,1010.07,3.3,1.04,-1.04
1015.64,1015.25,1016.03,15.07,1.74,-1.74
1016.7,1016.32,1017.08,22.7,1.95,-1.95
1017.66,1017.28,1018.04,37.14,2.42,-2.42
1018.64,1018.25,1019.03,51.83,2.68,-2.68
1019.62,1019.2,1020.04,55.63,2.46,-2.46
1020.5799999999999,1020.18,1020.98,40.87,2.54,-2.54
1021.64,1021.23,1022.05,24.97,2.13,-2.13
1022.78,1022.39,1023.17,12.01,1.37,-1.37
1027.76,1027.36,1028.16,2.79,0.47,-0.47
1036.96,1033.96,1039.96,0.41,0.1,-0.1
1055.6399999999999,1050.7,1060.58,0.064,0.027,-0.027
