# 'SQRT(S) [GEV]','SQRT(S) [GEV] LOW','SQRT(S) [GEV] HIGH','SIG [PB]','stat +','stat -','sys +','sys -'
1100.0,1075.0,1125.0,4.0,41.0,-4.0,20.0,-20.0
1175.0,1150.0,1200.0,21.0,22.0,-13.0,2.0,-2.0
1262.5,1225.0,1300.0,18.0,14.0,-8.0,2.0,-2.0
1362.5,1325.0,1400.0,24.0,15.0,-10.0,2.0,-2.0
1462.5,1425.0,1500.0,37.0,18.0,-12.0,2.0,-2.0
1560.0,1520.0,1600.0,44.0,19.0,-14.0,2.0,-2.0
1662.5,1625.0,1700.0,18.0,19.0,-10.0,2.0,-2.0
1760.0,1720.0,1800.0,3.0,11.0,-3.0,1.0,-1.0
1862.5,1825.0,1900.0,'<6.0',0,0,0,0
1960.0,1920.0,2000.0,'<7.0',0,0,0,0
