# 'SQRT(S) [MEV]','SQRT(S) [MEV] LOW','SQRT(S) [MEV] HIGH','SIG [NB]','error +','error -'
985.585,985.13,986.04,0.26,0.28,-0.28
1004.96,1004.51,1005.41,0.37,0.3,-0.3
1010.7650000000001,1010.34,1011.19,1.15,0.32,-0.32
1016.0699999999999,1015.62,1016.52,2.97,0.4,-0.4
1017.1600000000001,1016.98,1017.34,2.68,0.64,-0.64
1018.21,1017.94,1018.48,5.16,0.42,-0.42
1019.135,1018.84,1019.43,5.4,0.25,-0.25
1020.065,1019.74,1020.39,4.81,0.35,-0.35
1021.0250000000001,1020.72,1021.33,2.07,0.29,-0.29
1021.82,1021.69,1021.95,1.54,0.33,-0.33
1022.4649999999999,1022.14,1022.79,1.07,0.29,-0.29
1028.115,1027.64,1028.59,0.03,0.03,-0.03
1033.865,1033.38,1034.35,0.0,0.01,-0.01
1039.155,1039.01,1039.3,-0.04,0.05,-0.05
