# 'SQRT(S) [MEV]','SQRT(S) [MEV] LOW','SQRT(S) [MEV] HIGH','SIG [NB]','stat +','stat -','sys +','sys -'
599.52,599.38,599.66,1.23,0.77,-0.77,0.19,-0.19
629.51,629.36,629.66,1.31,0.68,-0.68,0.43,-0.43
659.52,659.36,659.68,0.45,0.63,-0.63,0.17,-0.17
689.56,689.37,689.75,1.1,0.59,-0.59,0.3,-0.3
719.51,719.33,719.69,1.97,0.56,-0.56,0.18,-0.18
749.5,749.3,749.7,4.09,0.73,-0.73,0.28,-0.28
759.5,759.3,759.7,7.71,1.02,-1.02,0.42,-0.42
763.5,763.29,763.71,10.27,1.19,-1.19,0.47,-0.47
769.5,769.29,769.71,18.95,1.45,-1.45,1.08,-1.08
773.5,773.29,773.71,31.62,1.51,-1.51,1.45,-1.45
777.5,777.29,777.71,79.6,2.13,-2.13,2.15,-2.15
778.71,778.49,778.93,93.89,8.13,-8.13,3.82,-3.82
779.48,779.24,779.72,118.49,3.46,-3.46,2.94,-2.94
780.59,780.36,780.82,151.36,2.2,-2.2,4.4,-4.4
781.63,781.39,781.87,172.82,1.43,-1.43,5.15,-5.15
782.52,782.31,782.73,169.83,2.94,-2.94,4.76,-4.76
783.51,783.3,783.72,159.53,2.93,-2.93,5.46,-5.46
785.51,785.29,785.73,113.15,2.39,-2.39,3.18,-3.18
789.5,789.28,789.72,47.61,1.66,-1.66,1.43,-1.43
793.49,793.26,793.72,21.26,1.1,-1.1,0.8,-0.8
799.49,799.26,799.72,11.27,0.77,-0.77,0.31,-0.31
809.49,809.24,809.74,4.7,0.43,-0.43,0.13,-0.13
819.49,819.25,819.73,2.9,0.25,-0.25,0.19,-0.19
839.47,839.22,839.72,1.59,0.18,-0.18,0.07,-0.07
879.45,879.18,879.72,0.72,0.16,-0.16,0.17,-0.17
919.4300000000001,919.11,919.75,0.54,0.12,-0.12,0.04,-0.04
939.45,939.15,939.75,0.39,0.12,-0.12,0.09,-0.09
949.45,949.16,949.74,0.39,0.13,-0.13,0.06,-0.06
957.45,957.16,957.74,0.4,0.13,-0.13,0.06,-0.06
969.46,969.16,969.76,0.48,0.13,-0.13,0.1,-0.1
