# '$E$ [GeV]','$E$ [GeV] LOW','$E$ [GeV] HIGH','$\sigma$ [nb]','stat +','stat -','sys +','sys -'
600.0,600.0,600.0,0.0,0.4,-0.4,0.01,-0.01
630.0,630.0,630.0,0.61,0.33,-0.33,0.01,-0.01
660.0,660.0,660.0,0.7,0.2,-0.2,0.01,-0.01
690.0,690.0,690.0,1.33,0.28,-0.28,0.02,-0.02
720.0,720.0,720.0,2.03,0.16,-0.16,0.03,-0.03
750.26,750.26,750.26,4.45,0.32,-0.32,0.06,-0.06
760.29,760.29,760.29,7.81,0.38,-0.38,0.11,-0.11
764.31,764.31,764.31,10.52,0.42,-0.42,0.15,-0.15
769.79,769.79,769.79,17.88,1.25,-1.25,0.28,-0.28
770.4,770.4,770.4,21.02,0.58,-0.58,0.31,-0.31
773.79,773.79,773.79,32.5,1.4,-1.4,0.5,-0.5
774.4,774.4,774.4,39.1,1.0,-1.0,0.6,-0.6
777.86,777.86,777.86,80.5,1.8,-1.8,1.4,-1.4
778.4,778.4,778.4,89.0,1.5,-1.5,1.6,-1.6
779.79,779.79,779.79,113.9,3.3,-3.3,2.0,-2.0
780.2,780.2,780.2,132.0,1.5,-1.5,2.2,-2.2
780.79,780.79,780.79,147.4,2.2,-2.2,2.3,-2.3
781.4,781.4,781.4,159.8,1.9,-1.9,2.4,-2.4
781.8,781.8,781.8,166.9,1.5,-1.5,2.4,-2.4
782.4,782.4,782.4,169.2,1.7,-1.7,2.3,-2.3
782.79,782.79,782.79,166.4,2.9,-2.9,2.3,-2.3
783.25,783.25,783.25,163.9,1.5,-1.5,2.2,-2.2
783.79,783.79,783.79,155.8,2.9,-2.9,2.2,-2.2
784.4,784.4,784.4,144.4,1.5,-1.5,2.2,-2.2
785.4,785.4,785.4,118.2,1.5,-1.5,1.9,-1.9
785.87,785.87,785.87,105.5,2.0,-2.0,1.7,-1.7
786.4,786.4,786.4,94.8,1.5,-1.5,1.6,-1.6
789.79,789.79,789.79,46.1,1.6,-1.6,0.7,-0.7
790.4,790.4,790.4,40.4,1.0,-1.0,0.6,-0.6
793.79,793.79,793.79,22.0,1.2,-1.2,0.3,-0.3
794.4,794.4,794.4,20.8,0.7,-0.7,0.3,-0.3
800.28,800.28,800.28,10.6,0.4,-0.4,0.1,-0.1
810.25,810.25,810.25,4.76,0.32,-0.32,0.07,-0.07
820.0,820.0,820.0,3.03,0.26,-0.26,0.04,-0.04
840.0,840.0,840.0,1.5,0.15,-0.15,0.02,-0.02
880.0,880.0,880.0,0.81,0.16,-0.16,0.01,-0.01
920.0,920.0,920.0,0.52,0.13,-0.13,0.01,-0.01
940.0,940.0,940.0,0.39,0.11,-0.11,0.01,-0.01
950.0,950.0,950.0,0.33,0.14,-0.14,0.01,-0.01
958.0,958.0,958.0,0.42,0.14,-0.14,0.01,-0.01
970.0,970.0,970.0,0.38,0.14,-0.14,0.01,-0.01
984.11,984.11,984.11,0.34,0.11,-0.11,0.01,-0.01
1003.82,1003.82,1003.82,0.46,0.12,-0.12,0.01,-0.01
1010.26,1010.26,1010.26,0.67,0.15,-0.15,0.01,-0.01
1015.58,1015.58,1015.58,2.08,0.21,-0.21,0.04,-0.04
1016.73,1016.73,1016.73,3.72,0.19,-0.19,0.07,-0.07
1017.66,1017.66,1017.66,4.44,0.16,-0.16,0.09,-0.09
1018.7,1018.7,1018.7,5.63,0.18,-0.18,0.08,-0.08
1019.66,1019.66,1019.66,4.93,0.16,-0.16,0.1,-0.1
1020.53,1020.53,1020.53,3.71,0.17,-0.17,0.09,-0.09
1021.54,1021.54,1021.54,1.53,0.16,-0.16,0.05,-0.05
1022.82,1022.82,1022.82,0.71,0.14,-0.14,0.03,-0.03
1027.81,1027.81,1027.81,0.05,0.11,-0.11,0.03,-0.03
1033.7,1033.7,1033.7,0.0,0.11,-0.11,0.01,-0.01
1039.62,1039.62,1039.62,0.01,0.11,-0.11,0.01,-0.01
1049.71,1049.71,1049.71,0.04,0.1,-0.1,0.01,-0.01
1059.58,1059.58,1059.58,0.04,0.11,-0.11,0.01,-0.01
1080.0,1070.0,1090.0,0.075,0.049,-0.049,0.008,-0.008
1127.0,1100.0,1160.0,0.03,0.028,-0.028,0.002,-0.002
1201.0,1180.0,1230.0,0.04,0.027,-0.027,0.001,-0.001
1269.0,1240.0,1300.0,0.065,0.025,-0.025,0.003,-0.003
1350.0,1310.0,1380.0,0.027,0.019,-0.019,0.002,-0.002
